Candidate ID,Father Name as per affidavit,Age,Self Profession,Spouse Profession,Criminal Cases Count,Education Category,Education Details,Self Occupation,Self Source of Income,Spouse Source of Income,Movable Assets (Self),Movable Assets (Spouse),Movable Assets (Total),Immovable Assets (Self),Immovable Assets (Spouse),Immovable Assets (Total),Total Assets,Liabilities (Self),Liabilities (Spouse),Total Liabilities,Criminal Case Details
89,Venkanna,73,Political Service And Cultivation,Housewife,1,Graduate,"Graduate In Commerce From SVKP And Dr.K.S.Raju Arts And Science College, Penugonda Affiliated From Andhra University Visakhapatnam 1974-77;             		 Details of PAN and status of Income Tax return",Political Service And Cultivation,MLA Pension And Agriculture Income,Nil,"2,21,80,183","2,06,71,066","4,28,51,249","8,52,74,000","1,45,80,000","9,98,54,000","14,27,05,249","2,50,00,000","22,70,000","2,72,70,000",1 charges related to Punishment for Being member of an unlawful assembly (IPC Section-143) 1 charges related to Punishment for public nuisance in cases not otherwise provided for (IPC Section-290) 1 charges related to Assault or criminal force to deter public servant from discharge of his duty (IPC Section-353) 1 charges related to Every member of unlawful assembly guilty of offence committed in prosecution of common object (IPC Section-149)
91,Seshagiri Rao (late),52,Business and Agriculture,Business,8,12th Pass,"Gradutation (BE) from B.I.E.T college Thavagiri (Discontinued), Intermediate from Vidwan Junior College Guntur in 1993;             		 Details of PAN and status of Income Tax return",Business and Agriculture,"Business, Agriculture and Salary from AP Assembly","Business , Agriculture","6,38,34,381.13","4,28,62,845.65","15,42,98,061.71","2,90,00,000","6,50,90,000","20,83,78,800","36,33,45,521","4,33,74,12,543.44","2,73,98,85,727",,8 charges related to Punishment for wrongful restraint (IPC Section-341) 8 charges related to Every member of unlawful assembly guilty of offence committed in prosecution of common object (IPC Section-149) 6 charges related to Punishment for Being member of an unlawful assembly (IPC Section-143) 5 charges related to Disobedience to order duly promulgated by public servant (IPC Section-188) 4 charges related to Negligent act likely to spread infection of disease dangerous to life (IPC Section-269) 4 charges related to Malignant act likely to spread infection of disease dangerous to life (IPC Section-270) 3 charges related to Punishment for public nuisance in cases not otherwise provided for (IPC Section-290) 1 charges related to Assault or criminal force to deter public servant from discharge of his duty (IPC Section-353)
83,P V Narsimhulu,55,"Doctor: Managing Director, Partha Dental Care India Pvt. Ltd, Partha Cosmetology Pvt Ltd and Independent Director Bharath Electronic Limited",Doctor: Home Maker,3,Post Graduate,"MDS (Master Of Dental Surgery), Pedodontics, Government Dental College, Hyderabad, NTR University Of Health Science, 1997;             		 Details of PAN and status of Income Tax return","Doctor: Managing Director, Partha Dental Care India Pvt. Ltd, Partha Cosmetology Pvt Ltd and Independent Director Bharath Electronic Limited","Rental Income, Directors Remuneration, Interest From Banks","Consultancy Income, Interest From Banks","13,29,88,452","1,37,09,506","17,14,65,196","45,60,00,000","7,12,00,000","60,02,00,000","77,16,65,196","17,98,93,106",,"17,98,93,106",1 charges related to Punishment for undue influence or personation at an election (IPC Section-171F)1 charges related to Illegal payments in connection with an election (IPC Section-171H) 3 charges related to Disobedience to order duly promulgated by public servant (IPC Section-188) 3 charges related to Acts done by several persons in furtherance of common intention (IPC Section-34)
167,Late Bhuma Venkata Nagi Reddy,38,Business & Cultivation,Business & Cultivation,12,Graduate Professional,"BBM, IIP College , Hyderabad University, 2006-2009;             		 Details of PAN and status of Income Tax return",Business & Cultivation,Business & Cultivation,Business & Cultivation,"6,37,30,801","87,59,457","7,24,90,258","5,15,75,000","35,00,000","5,50,75,000","12,75,65,258","22,00,000","27,61,800","49,61,800",
70,Late Chinna Anjinaiah,57,Agriculture and Ex-Contractor,Agriculture,1,8th Pass,"9th standard pass in ZPHS School,Chippagiri;             		 Details of PAN and status of Income Tax return",Agriculture and Ex-Contractor,Agriculture and Ex-Contractor,Agriculture,"1,15,17,359","36,61,467","1,51,78,826","6,45,00,000","45,00,000","6,90,00,000","8,64,78,826","84,18,709",,"84,18,709",1 charges related to Acts done by several persons in furtherance of common intention (IPC Section-34) 1 charges related to Disobedience to order duly promulgated by public servant (IPC Section-188)
86,Late Krishna Rao,57,Cultivation and Business,"House hold activities, Cultivation and Business",15,Graduate Professional,"B.E. (Civil) Gulbharga University, Karnataka State Passed in 1990;             		 Details of PAN and status of Income Tax return",Cultivation and Business,Cultivation and Business,Cultivation and Business,"4,21,12,788","1,99,61,507","7,38,10,128","2,07,45,000","2,34,33,200","4,41,78,200","11,79,87,628","14,65,241","24,87,510","1,01,63,320","5 charges related to Punishment for criminal intimidation (IPC Section-506)2 charges related to Punishment for theft (IPC Section-379)1 charges related to Causing death by negligence (IPC Section-304A)1 charges related to Causing disappearance of evidence of offence, or giving false information to screen offender (IPC Section-201) 7 charges related to Disobedience to order duly promulgated by public servant (IPC Section-188) 5 charges related to Assault or criminal force to deter public servant from discharge of his duty (IPC Section-353) 4 charges related to Every member of unlawful assembly guilty of offence committed in prosecution of common object (IPC Section-149) 4 charges related to Acts done by several persons in furtherance of common intention (IPC Section-34) 2 charges related to Mischief causing damage to the amount of fifty rupees (IPC Section-427) 2 charges related to Rioting, armed with deadly weapon (IPC Section-148) 2 charges related to Punishment for Rioting (IPC Secti"
54,Subba Rao,57,"Advocate, Agriculture and Aquaculture","Private Teacher,Business and Aquaculture",3,Post Graduate,"Master of Arts (M.A) In 1993 From  Bachelor of Law(B.L) Andhra University,Visakhapatnam In 1996;             		 Details of PAN and status of Income Tax return","Advocate, Agriculture and Aquaculture",Agriculture and Aquaculture,Salary Aquaculture and Business,"25,42,758","24,66,289","54,90,237","19,15,000","5,05,72,600","5,24,87,600","5,79,77,837","8,08,836","1,14,61,688","1,26,08,748",2 charges related to Punishment for wrongful restraint (IPC Section-341) 2 charges related to Acts done by several persons in furtherance of common intention (IPC Section-34) 1 charges related to Punishment for Being member of an unlawful assembly (IPC Section-143) 1 charges related to Assault or criminal force to deter public servant from discharge of his duty (IPC Section-353) 1 charges related to Every member of unlawful assembly guilty of offence committed in prosecution of common object (IPC Section-149) 1 charges related to Disobedience to order duly promulgated by public servant (IPC Section-188)
391,Konathala Venkata Rao,69,Politician,Deceased,,Post Graduate,"M.Com, A.M.AL College Anakapalle (A.U);             		 Details of PAN and status of Income Tax return",Politician,Pension,Deceased,"1,20,77,938",,"2,69,74,116","58,97,53,200",,"61,23,81,200","63,95,36,271",,,,
184,Chinnarappa.D,50,Business and Agriculturist,Business and Agriculturist,1,Others,"Diploma in Mechanical Engineering at Vasavi Polytechnic College in Banaganapalli Kurnool District Passed in the Year 1995;             		 Details of PAN and status of Income Tax return",Business and Agriculturist,"Agriculture, Business, Salary, Rent","Salary, Rent, Business, Agriculture","14,71,25,714","4,15,53,570","19,39,42,255","23,14,60,000","10,16,00,000","33,75,60,000","53,11,36,363","3,82,29,117","1,33,65,136","5,15,94,253","1 charges related to Attempt to murder (IPC Section-307)1 charges related to Punishment for murder (IPC Section-302) 1 charges related to Punishment for Rioting (IPC Section-147) 1 charges related to Rioting, armed with deadly weapon (IPC Section-148) 1 charges related to Punishment of criminal conspiracy (IPC Section-120B) 1 charges related to Every member of unlawful assembly guilty of offence committed in prosecution of common object (IPC Section-149)"
2332,Moola Reddy,60,Business,House Wife,32,Graduate Professional,"Bachelor of Engineering (Civil) 1986 SRKR Engineering College, Bhimavaram ;             		 Details of PAN and status of Income Tax return",Business,Monthly Pension As Ex.MLA,Nil,"1,15,69,431.65","92,74,107","2,08,43,538.65","1,50,00,000",,"1,50,00,000","3,58,43,539","2,16,91,926","2,30,75,737","4,47,67,663","2 charges related to Punishment for criminal intimidation (IPC Section-506)2 charges related to Promoting enmity between different groups on grounds of religion, race, place of birth, residence, language, etc., and doing acts prejudicial to maintenance of harmony (IPC Section-153A)2 charges related to Section 505(2) (IPC Section-505(2))1 charges related to Voluntarily causing hurt to deter public servant from his duty (IPC Section-332)1 charges related to Abetment of suicide (IPC Section-306) 11 charges related to Acts done by several persons in furtherance of common intention (IPC Section-34) 10 charges related to Punishment for wrongful restraint (IPC Section-341) 7 charges related to Disobedience to order duly promulgated by public servant (IPC Section-188) 7 charges related to Every member of unlawful assembly guilty of offence committed in prosecution of common object (IPC Section-149) 4 charges related to Assault or criminal force to deter public servant from discharge of his dut"
