S.No,Member ID,Full Name,Constituency,Party,Period,Position Held
1,5722,Shri G M Harish Balayogi,Amalapuram (SC),TDP,20-Dec-2024 -,"Member, The Joint Committee on the Constitution (One Hundred and Twenty-Ninth Amendment) Bill, 2024 and the Union Territories Laws (Amendment) Bill, 2024"
2,5722,Shri G M Harish Balayogi,Amalapuram (SC),TDP,26-Sep-2024 onwards,"Member, Committee on Labour, Textiles and Skill Development"
3,5722,Shri G M Harish Balayogi,Amalapuram (SC),TDP,June 2024,Elected to 18th Lok Sabha
4,5745,Shri Srinivasa Varma B J P Varma Bhupathiraju,Narsapuram,BJP,09-Jun-2024 -,Union Minister of State in the Ministry of Heavy Industries; and Minister of State in the Ministry of Steel
5,5745,Shri Srinivasa Varma B J P Varma Bhupathiraju,Narsapuram,BJP,June 2024,Elected to 18th Lok Sabha
6,5096,Shri Lavu Sri Krishna Devarayalu,Narasaraopet,TDP,12-Nov-2025 -,"Member, The Joint Committee on The Constitution (One Hundred and Thirtieth Amendment) Bill, 2025; The Jammu and Kashmir Reorganisation (Amendment) Bill, 2025; and The Government Of Union Territories (Amendment) Bill, 2025"
7,5096,Shri Lavu Sri Krishna Devarayalu,Narasaraopet,TDP,01-Oct-2025 -,"Member, The Select Committee on the Insolvency and Bankruptcy Code (Amendment) Bill, 2025"
8,5096,Shri Lavu Sri Krishna Devarayalu,Narasaraopet,TDP,21-Oct-2024 -,"Member, Consultative Committee, Ministry of Home Affairs, Govt. of India"
9,5096,Shri Lavu Sri Krishna Devarayalu,Narasaraopet,TDP,26-Sep-2024 onwards,"Member, Committee on Finance"
10,5096,Shri Lavu Sri Krishna Devarayalu,Narasaraopet,TDP,13-Aug-2024 -,"Member, The Joint Committee on The Waqf (Amendment) Bill, 2024"
11,5096,Shri Lavu Sri Krishna Devarayalu,Narasaraopet,TDP,18-Jul-2024 -,"Member, Business Advisory Committee"
12,5096,Shri Lavu Sri Krishna Devarayalu,Narasaraopet,TDP,June 2024,Elected to 18th Lok Sabha
13,5096,Shri Lavu Sri Krishna Devarayalu,Narasaraopet,TDP,21 Dec. 2022 onwards,"Member, Joint Committee on the Multi-State Co-operative Societies (Amendment) Bill"
14,5096,Shri Lavu Sri Krishna Devarayalu,Narasaraopet,TDP,13 Sept. 2020 onwards,"Member, Standing Committee on Education, Women, Children, Youth and Sport"
