S.No,MP Code,Member Name,Freedom Fighter,Books Published,Social and Cultural Activities / Literary / Artistic / Scientific Accomplishments,Countries Visited,"Sports, Clubs, Favourite Pastimes and Recreation",Other Information,Brief Bio Data
1,2465,Shri Ayodhya Rami Reddy Alla,No,,"Healthcare, education, women empowerment, natural resources management, skill development and waste management","U.S.A., Singapore, Vietnam and U.A.E.","Kabaddi, cricket and boxing",Business,
2,2641,Shri Sana Sathish Babu,No,,,,"Cricket; Secretary, Andhra Cricket Association","Assistant Engineer, Eastern Power Distribution Company of Andhra Pradesh Limited (formerly A.P.S.E.B.), 1994-2004",
3,2586,Shri Golla Baburao,No,,Social and cultural activities,,Likes to spend time with people,,
4,2527,Shri Masthan Rao Yadav Beedha,No,,"Dedicated social worker and visionary leader; founded the BMR Trust with the mission of uplifting communities and addressing critical societal needs like health, education, empowerment of women, skill development, strengthening social welfare hostels, support to housing, supply of safe drinking water, sports, and entrepreneurship development trainings, etc. in the rural and urban areas, thereby serving a population of more than 8 lakhs; the BMR Group has provided employment to 6000 youths, paving the way for improving their standard of living","U.S.A., Kenya, Mexico, Mauritius and Japan","Encourages and supports sports and games in Andhra Pradesh and Tamil Nadu; Member, (i) Andhra Club, Chennai, (ii) Gandhi Nagar Club, Chennai, (iii) Cosmopolitan Club, Chennai, (iv) Nellore Club, Nellore and (v) Constitution Club, New Delhi","A versatile personality having interest and shouldering responsibilities in several spheres, such as business, politics, social service, spirituality and philanthropy, etc.; Chairman, BMR Group of industries; fondly known as ‘Father of Vannamei’ for introduction of Litopenaeus vennamei in India; a well-known name in the aqua community; with a modest beginning in sea food industries with shrimp farming at Iskapalli in 1991, started BMR Group, which has been working in all wings of aqua culture viz. Broodstock Multiplication Centre, hatcheries, farming, feed industry, processing plant and exports, etc.; expanded his group into 400 hectares farming, 12 hatcheries, shrimp process unit, a feed plant, broodstock multiplication centre, etc.; the group is one of the largest seed supplier, with 6.5 billion annual seed production; introduced Shrimp L-Vannamei exotic species in India; as a result India is now the second largest exporter of shrimp in the world market with an annual export value of Rs. 30420 crore; the Group has been awarded ‘Best Hatchery in India’ award, by MPEDA, in 2015; awarded, (i) Honorary Doctorate Degree by the International University of Contemporary Studies, Washington DC, U.S.A. in recognition of his vision, innovative thinking and unrelenting efforts, 1998, (ii)‘Indian of the year 2017 - Aqua Culture’ by Shri Suresh Prabhu, the then Hon’ble Union Minister of Railways, (iii) Lifetime Achievement award, by India International Aquaculture Expo, Chennai, 2022 and (iv) ‘Best Hatchery Award’, 2024, by Government of Andhra Pradesh; instrumental in formulating policies that had greatly supported the aqua farmers and industry; the suggestions impacted the formulation of pro-aqua policies like subsidized power, grants-in-aid to new industries, subsidized supply of fishing nets and boats to fishermen, subsidies for setting up of cold storages, reefer containers, etc.; President, Shrimp Feed Manufacturers Association(SFMA) since 2021",
5,2528,Shri Ryaga Krishnaiah,No,Wrote more than 300 articles in various leading dailies,"Mass leader, outstanding orator; his efforts have lead to the upliftment of the Backward Classes in Andhra Pradesh; has led three pro-reservation movements in the state that lead to the implementation of recommendations of the Muralidhar Rao Commission Report, (1986) and the Mandal Commission Report, (1990); Editor, BC Garjana, a monthly magazine with a circulation of 40,000 copies, which covers various issues pertaining to social evils; was Editor, ""Voice of weaker section"", a leading Telugu monthly magazine, 1982-1992 with a circulation of 30,000 copies; organized public meetings for the welfare of the backward class people; helped in introducing ‘Full Fees Reimbursement Schemes’, in 2008, benefitting 30 lakh college and university students; helped in providing ‘full mess charges scheme and scholarships’ to the backward class University students, 1976; made efforts to increase the number of SC/ST/BC hostels from 600 to 6000 benefitting around 8 lakh students at school and college levels; strived for the sanctioning of 1500 SC/ST/BC/Minority welfare residential schools; fought against corruption in the recruitment process of Andhra Pradesh Public Service Commission; Awards, (i) National Ambedkar Award, 2003, by National SC Welfare Organization, (ii) National Mahatma Jyothi Rao Pule Award, 2011",,,"Was the Chief Minister candidate for TDP and BJP alliance during the 2014 elections, in Telangana, 2014; Founder President, BC Student Association (founded in 1978); President, (i) National Backward Classes Welfare Association, (ii) 140 Unions of OBC employers of Central and State Government Departments, (iii) Social Welfare Hostel (SC, ST and OBC) Students' Union, 1976-2004; In-Charge, RSS, 1970-79; Former President, (i) Andhra Pradesh Social Welfare Hostel Students Union from 1976- 2004, (ii) Andhra Pradesh State Unemployees Struggle Committee, (iii) Andhra Pradesh Class IV Employees Central Association, (iv) Andhra Pradesh State Sama Sangram Parishad, a pro-reservation organization, Pro-Mandal agitation A.P. State Reservation Protection Committee; Chairman, (i) Andhra Pradesh Social Welfare Hostel Students Joint Action Committee, 1978, (ii) State Joint Action Committee formed with the state organization of PDSU, RSU, AISF, SFI, DSO, 1979, 1980-84, (iii) Joint Committee for Pro-reservation Organisation, 2006, (iv) State Joint Action Committee formed against levying capitation fees and donations in private colleges, 1992; was State Leader, ABVP, 1972-78; was President, Students Union, Osmania University and P.G College of Law, 1980-82; organised around 12 thousand public meetings, dharnas, rallies, party meetings, etc. 1973-2022; addressed more than 6 thousand public meetings in all parts of the state; made efforts to achieve 34 reservation for the BCs in Zilla parishads, mandal parishads, gram panchayats, municipalities, local body elections, 1986; under his leadership the BC Welfare Association has organized agitations in the state and introduced all the existing schemes meant for Backward Classes and Scheduled Castes students such as hostels, scholarships, exemption from tuition fees, reservations, self employment, student loans, residential schools, etc.; associated with the National Backward Classes Welfare Association; was Chief Guest, at several meetings of students' unions of Junior/Degree /University colleges; organized meetings, seminars, public meetings against caste system and untouchability; fought against the practice of capitation fees, donations in private engineering colleges; excelled in academics and had been recipient of several Gold medals at University level; during school/ college/ University days, was awarded first prize more than 400 times for elocution competition, essay writing, quiz competitions; received opportunities to pursue a career in the State/Central Government, instead dedicated his life for the upliftment of the weaker sections of the society; committed with a vision to give education to all belonging to the oppressed sections of the society; as Chief Guest, addressed hundreds of meetings of the Jana Sangh in Andhra Pradesh, 1975-78",
6,2081,Shri Parimal Nathwani,No,"In Hindi, Jharkhand: Meri Karmabhoom; In English, (i) Gir Lion: Pride of Gujarat and (ii) Adorable and Admirable Parimal Nathwani (both in association with Times of India), (iii) ‘Call of the Gir’ and (iv) The One and Only… Dhirubhai Ambani (published in Gujarati, Hindi and English).","Founder Chairman and Trustee, Reliance Rural Development Trust (an NGO), which has carried out approximately 6246 works in 5558 villages across 25 districts of Gujarat for rural development; Chairman, Indian Institute of Public Health, Gandhi Nagar;Trustee, Board of Governor's Social Welfare Fund, Gujarat;Chancellor, Shree Bruhad Gujarat Sanskrut Parishad; Member, (i) Nathdwara Temple Board, (ii) Gujarat Ayurved University Development Board and (iii) Board of Governors of Pandit Deendayal Energy University; Founder Director, GEET Foundation, an NGO for promoting environmental and ecological tourism in Gir","Russia, Switzerland, South Korea, Japan, Uganda, Kenya, as a Member of the delegation of the Government of Gujarat led by the Hon'ble Chief Minister; Austria, France, U.S.A., U.A.E., Thailand, China and Europe","President, Gujarat State Football Association; formerVice-President, Gujarat Cricket Association; Executive Member, Lions Club of Jamnagar; Member, Rotary Club of Jamnagar; Lifetime Member, Constitution Club of India; over the last 35 years gathered extensive insights and knowledge about Gir lions, Gir fauna and flora as well as the Maldharis residing in and around Gir in Gujarat","As Vice-President of Gujarat Cricket Association (GCA), successfully planned, monitored, supervised and executed construction of the world’s largest cricket stadium at Ahmedabad, the ‘Narendra Modi Stadium’; very passionate about wildlife, especially GirLions; had been working for conservation and protection of the Gir Lions, the last remaining Asiatic Lions in the world; made a documentary titled ‘Parimal Nathwani : Gir Aur Lion Ko Samarpit Ek Shakhsiyat’; also, published a 12-episode video documentary on Asiatic Lion of Gir called ‘The Pride Kingdom’; Member, Advisory Committee, Gir Sanctuary and National Park, Government of Gujarat",
7,2466,Shri Subhas Chandra Bose Pilli,No,,,,,,
8,2587,Shri Meda Raghunadha Reddy,No,,,"U.K., China, U.A.E., Singapore, Malaysia, Thailand, Hong Kong, Sri Lanka, Maldives, Indonesia, etc.",,,
9,2526,Shri S Niranjan Reddy,No,,"Avid film lover; produced films; co-writer of the screen play for the movies “The Ghazi Attack” and “Ghazi” which won a National Award; Founder Trustee of Art Telangana, a trust for the promotion of local artists",Widely travelled,,,
10,2588,Shri Yerram Venkata Subba Reddy,No,,,Widely travelled,"Reading, travelling",,
