S.No,MP Code,Member Name,Party,State,Position No.,Period,Position Held
1,2465,Shri Ayodhya Rami Reddy Alla,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,1,Feb. 2026 onwards,"Member, India - Qatar Parliamentary Friendship Group"
1,2465,Shri Ayodhya Rami Reddy Alla,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,2,Sept. 2025 onwards,"Member, Committee on External Affairs"
1,2465,Shri Ayodhya Rami Reddy Alla,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,3,,"Member, Consultative Committee for the Ministry of Skill Development and Entrepreneurship"
1,2465,Shri Ayodhya Rami Reddy Alla,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,4,Oct. 2024 onwards,"Member, Committee on Members of Parliament Local Area Development Scheme"
1,2465,Shri Ayodhya Rami Reddy Alla,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,5,Sept. 2024 - Sept. 2025,"Member, Committee on Housing and Urban Affairs"
1,2465,Shri Ayodhya Rami Reddy Alla,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,6,July 2024,"Nominated to the Panel of Vice-Chairpersons, Rajya Sabha"
1,2465,Shri Ayodhya Rami Reddy Alla,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,7,Sept. 2022 - June 2024,"Member, Committee on Commerce"
1,2465,Shri Ayodhya Rami Reddy Alla,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,8,Sept. 2021 - Sept. 2022,"Member, Committee on Chemicals and Fertilizers"
1,2465,Shri Ayodhya Rami Reddy Alla,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,9,Dec. 2020 - June 2024,"Member, Consultative Committee for the Ministry of Environment, Forest and Climate Change"
1,2465,Shri Ayodhya Rami Reddy Alla,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,10,July 2020 - Sept. 2021,"Member, Committee on Urban Development"
1,2465,Shri Ayodhya Rami Reddy Alla,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,11,June 2020,Elected to Rajya Sabha
2,2641,Shri Sana Sathish Babu,Telugu Desam Party,Andhra Pradesh,1,Feb. 2026 onwards,"Member, India - Bulgaria Parliamentary Friendship Group"
2,2641,Shri Sana Sathish Babu,Telugu Desam Party,Andhra Pradesh,2,Sept. 2025 onwards,"Member, Committee on Commerce"
2,2641,Shri Sana Sathish Babu,Telugu Desam Party,Andhra Pradesh,3,June 2025 onwards,"Member, Court of the English and Foreign Languages University"
2,2641,Shri Sana Sathish Babu,Telugu Desam Party,Andhra Pradesh,4,Jan. - Sept. 2025,"Member, Committee on Personnel, Public Grievances, Law and Justice"
2,2641,Shri Sana Sathish Babu,Telugu Desam Party,Andhra Pradesh,5,Dec. 2024,Elected to Rajya Sabha
3,2586,Shri Golla Baburao,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,1,Feb. 2026 onwards,"Member, India - Trinidad & Tobago Parliamentary Friendship Group"
3,2586,Shri Golla Baburao,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,2,"Sept, 2025 onwards","Member, Committee on Transport, Tourism and Culture"
3,2586,Shri Golla Baburao,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,3,,"Member, Consultative Committee for the Ministry of Power."
